quote,author,prompt
"“remember that trying is eighty percent of doing something. So try and don't give up, because not giving up is the other twenty percent.”",Zain Hashmi,Provide a motivational quote about perseverance:
"“Happiness is a state of mind, a choice, a way of living; it is not something to be achieved, it is something to be experienced.”",Steve Maraboli,Provide a motivational quote about experiencing happiness:
"“I am not a victim. No matter what I have been through, I'm still here. I have a history of victory.”",Steve Maraboli,Provide a motivational quote about overcoming adversity:
“Just for the record: happiness is not bullshit.”,Andrew Sean Greer,Provide a motivational quote about the importance of happiness:
"“The more you believed in yourself, the more you could trust yourself. The more you trust yourself, the less you compare yourself to others.”",Roy T. Bennett,Provide a motivational quote about self-confidence:
"“Holding a grudge & harboring anger/resentment is poison to the soul. Get even with people...but not those who have hurt us, forget them, instead get even with those who have helped us.”",Steve Maraboli,Provide a motivational quote about forgiveness and gratitude:
"“Most people fail in life not because they aim too high and miss, but because they aim too low and hit.”",Les Brown,Provide a motivational quote about aiming for greatness:
“If you take responsibility for yourself you will develop a hunger to accomplish your dreams.”,Les Brown,Provide a motivational quote about taking responsibility:
"“The more you talk about them, the more important they will feel. The more you listen to them, the more important you will make them feel.”",Roy T. Bennett,Provide a motivational quote about making others feel important:
“Don't be distracted by criticism. Remember ~ the only taste of success some people have is when they take a bite out of you.”,Zig Ziglar,Provide a motivational quote about handling criticism:
“Never underestimate the power you have to take your life in a new direction.”,Germany Kent,Provide a motivational quote about empowerment:
“Keep your head in the clouds and your hands on the keyboard.”,Marissa Meyer,Provide a motivational quote about staying focused on your dreams:
“To be heroic is to be courageous enough to die for something; to be inspirational is to be crazy enough to live a little.”,Criss Jami,Provide a motivational quote about courage and inspiration:
"“Until you change how you get things done, you'll never know what works best.”",Roy T. Bennett,Provide a motivational quote about adaptability:
“The spirit of the individual is determined by his dominating thought habits.”,Bruce Lee,Provide a motivational quote about the power of positive thinking:
“Your beliefs affect your choices. Your choices shape your actions. Your actions determine your results. The future you create depends upon the choices you make and the actions you take today.”,Roy T. Bennett,Provide a motivational quote about shaping your destiny:
“Don't give up! It's not over. The universe is balanced. Every set-back bears with it the seeds of a come-back.”,Steve Maraboli,Provide a motivational quote about resilience:
“Dedicate yourself to what gives your life true meaning and purpose; make a positive difference in someone's life.”,Roy T. Bennett,Provide a motivational quote about dedication and making a positive difference in someone's life:
“Finding the lesson behind every adversity will be the one important thing that helps get you through it.”,Roy T. Bennett,Provide a motivational quote about finding the lesson in adversity:
